Geography,Gender,NumOfProducts,HasCrCard,IsActiveMember,Exited,CreditScore,Age,Tenure,Balance,EstimatedSalary
Spain,Male,1,0,1,0,-1.4022860959799843,-0.3739577120123647,1.7244635794717436,1.5993141087452802,0.3684301513922223
Spain,Male,1,0,1,0,1.2671820374561256,0.1981638321954454,1.378685672134612,0.4221788999539574,-0.6172224062856171
Germany,Male,2,1,1,0,1.691399841606825,-0.9460792562201749,1.03290776479748,0.3301666270892652,1.6899655178763158
Spain,Male,2,0,0,0,0.615335167663587,-1.6135543911292867,1.03290776479748,-1.2258476714090278,-0.007741581072431441
France,Male,2,0,0,0,-2.4576572185012373,-0.4693113027136664,1.378685672134612,-1.2258476714090278,-1.626846397081583
France,Female,1,1,1,0,0.1497302606689167,0.10281024149414371,0.3413519501232164,-1.2258476714090278,1.0739062597827504
France,Female,2,0,0,0,-0.2848343191927756,0.48422460429935044,0.3413519501232164,-1.2258476714090278,1.1663183654619271
France,Male,1,1,0,0,0.9050448875713819,-0.7553720748175714,1.378685672134612,0.09917992788595736,-1.0106403758215394
Spain,Male,2,1,0,0,-1.2677780117370796,-0.27860412131106305,0.6871298574603482,-1.2258476714090278,-0.6877989698109479
Spain,Female,1,1,1,1,0.20146413922388007,2.4866500090266856,-1.3875375865624426,-1.2258476714090278,1.3487854977662366
Spain,Female,2,1,1,1,-0.29518109490376826,0.6749317857019538,-0.35020386455104724,0.4902272794282505,-1.2016781988241692
Germany,Male,1,1,1,0,-0.7090521233434752,-0.6600184841162697,-1.3875375865624426,0.19958127032437928,-1.5656310282294663
Germany,Female,1,0,1,0,1.3913433459880375,-0.27860412131106305,-1.0417596792253108,0.37376757529982507,-1.0974845234549402
Spain,Male,1,0,0,0,-0.4710762819906437,-0.5646648934149681,-0.004425957213915414,1.1797059684586013,-0.49084714764726767
Germany,Male,1,1,0,1,-1.7747700215757207,-0.3739577120123647,1.378685672134612,0.26201118652800254,-0.011135566242245735
Germany,Male,1,0,1,0,0.35666577488877016,-0.8507256655188732,-0.695981771888179,0.22519563538186405,-0.6435210093764677
Germany,Male,2,1,0,0,-1.1643102546271529,0.0074566507928420294,0.6871298574603482,0.505963175688639,-1.2669448570751147
France,Male,1,0,0,0,-0.9159876375633287,0.2935174228967471,-1.0417596792253108,0.3806832727590162,-0.2311490290038934
Spain,Male,1,0,1,0,0.25319801777884343,-0.27860412131106305,1.378685672134612,0.4760798299237842,-1.3406210099872649
Germany,Male,2,0,1,1,0.7291497004845064,-1.0414328469214764,1.378685672134612,1.2499486194025073,0.021052865298588744
Germany,Female,2,1,1,0,-0.23310044063781224,-0.8507256655188732,1.378685672134612,0.8953608569192877,-0.45074219961698886
Germany,Female,1,1,0,0,0.18077058780189473,-0.18325053060976135,0.3413519501232164,1.4645333357025436,0.27036505545351586
France,Female,2,1,0,0,-1.4954070773789185,0.1981638321954454,-1.3875375865624426,-1.2258476714090278,-1.1880850430341514
Germany,Female,1,1,0,1,-1.3091651145810503,-0.7553720748175714,1.03290776479748,0.5021732452641317,1.7325557018962958
Germany,Male,2,1,0,0,0.5015206348426676,-0.4693113027136664,-0.35020386455104724,1.74195313351737,0.3607216073519582
France,Male,2,0,0,0,1.8362547015607225,-0.4693113027136664,1.03290776479748,0.8485945547152395,-1.0773958803182044
Spain,Male,1,0,0,0,0.24285124206785078,0.0074566507928420294,0.3413519501232164,0.7005053513151716,0.0007079082905388136
France,Female,2,1,0,0,0.05660927926998263,0.0074566507928420294,0.3413519501232164,-1.2258476714090278,0.712594993484055
Germany,Female,1,1,1,0,0.3463189991777775,0.8656389671045572,1.7244635794717436,0.7997291820680158,1.7048023350012298
France,Female,1,0,0,0,-0.26414076777079026,-1.0414328469214764,-0.695981771888179,-1.2258476714090278,1.4529583063345444
France,Male,1,1,0,1,-2.2610684799923764,0.2935174228967471,1.378685672134612,1.2199444292370911,0.17693308487932127
France,Female,1,0,1,1,-1.0504957218062334,1.247053329909764,-1.3875375865624426,-1.2258476714090278,-1.5902969780382497
Germany,Male,1,1,0,1,-0.26414076777079026,1.6284676927149706,-1.7333154938995745,1.1542940257856116,-0.9262452950562433
France,Female,2,1,0,0,1.8362547015607225,0.1981638321954454,0.6871298574603482,-1.2258476714090278,1.2396363049582653
France,Male,1,1,0,0,1.2361417103231473,-1.4228472097266833,1.378685672134612,0.4061458610959018,1.1679515404140175
France,Female,2,1,1,0,1.1119804017912354,-0.4693113027136664,-0.695981771888179,-1.2258476714090278,0.4196995334753119
Germany,Female,1,1,1,0,1.4948111030979643,-0.5646648934149681,1.378685672134612,0.871498735669945,0.2581391967938526
France,Male,1,1,1,0,0.3773593263107555,-0.08789693990845966,1.378685672134612,0.7386090011977995,-1.1212664164647004
France,Male,2,0,1,0,0.36701255059976284,-1.3274936190253817,-1.3875375865624426,-1.2258476714090278,-1.4542572605533
Germany,Male,2,1,1,0,1.4327304488320083,0.0074566507928420294,0.6871298574603482,0.7747916418163288,0.42291510749725103
Germany,Female,2,1,1,0,-0.6366246933665265,1.0563461485071606,-0.004425957213915414,1.096401063548959,-1.1328761828271687
Germany,Female,1,0,1,0,-1.9610119843735887,-0.4693113027136664,-0.004425957213915414,-0.20549893689426124,1.177131715589241
France,Male,1,0,1,0,-0.13997945923887817,0.10281024149414371,-1.0417596792253108,0.9131799567851122,-0.12041708934605813
Spain,Female,1,1,0,1,-0.6883585719214899,0.8656389671045572,-1.0417596792253108,2.190269672220738,-0.4334902241754669
Spain,Female,2,0,1,1,-0.7400924504764532,-0.3739577120123647,-1.3875375865624426,0.8495084204606,-1.5910833086529592
Germany,Male,1,1,0,0,1.09128685036925,0.48422460429935044,1.7244635794717436,0.9771119336280757,1.5555097644712839
France,Male,2,1,1,0,0.12903670924693136,-0.4693113027136664,0.6871298574603482,-1.2258476714090278,1.3969801567336042
France,Female,1,1,1,0,0.32562544775579216,0.38887101359804876,-0.004425957213915414,0.7911949068883061,1.6211433306384249
Spain,Male,1,1,0,1,1.474117551675979,1.247053329909764,-1.0417596792253108,-1.2258476714090278,1.0265349700017272
France,Female,1,1,0,1,0.4187464291547262,-0.7553720748175714,-0.004425957213915414,-0.5700896988101691,0.4542633025209964
Spain,Female,1,1,1,0,-1.7126893673097645,-1.7089079818305883,-0.004425957213915414,0.5877354081810798,-0.7990026730596075
Spain,Female,2,1,0,0,-0.1606730106608635,-0.9460792562201749,1.03290776479748,0.9906524365212337,0.7126928935583765
France,Male,1,0,0,0,-0.005471374995973408,-0.18325053060976135,-0.004425957213915414,0.4885269634527102,-1.314525162645364
France,Male,1,1,0,0,0.8740045604384039,0.48422460429935044,1.378685672134612,0.7083299461159868,-0.4391400844148583
France,Male,2,0,1,0,-2.426616891368259,-0.6600184841162697,-1.7333154938995745,-1.2258476714090278,-1.7251865870124325
Spain,Female,2,1,0,0,1.0705932989472646,-0.6600184841162697,0.6871298574603482,-1.2258476714090278,-0.18379286765353792
France,Female,1,1,0,1,-1.1953505817601309,0.8656389671045572,1.378685672134612,-1.2258476714090278,0.8660165822462607
Spain,Male,2,1,0,0,0.6774158219295431,0.2935174228967471,1.03290776479748,-1.2258476714090278,1.4034693840400465
France,Male,1,1,0,0,-1.1539634789161601,-0.18325053060976135,-1.0417596792253108,0.8193651149905585,-0.025110062819096102
France,Female,2,1,1,0,-0.3779553005917097,0.38887101359804876,0.3413519501232164,-1.2258476714090278,0.1556539907500374
Spain,Male,1,1,0,1,0.5739480648196164,1.7238212834162723,0.6871298574603482,-1.2258476714090278,-1.4284904131059215
France,Female,2,0,0,0,1.1119804017912354,-0.5646648934149681,0.6871298574603482,-1.2258476714090278,-0.2972435775813829
Spain,Female,2,1,1,0,-0.6676650204995045,-1.0414328469214764,-1.0417596792253108,-1.2258476714090278,-0.13951003829884273
France,Female,1,0,1,0,-0.0468584778399441,3.2494787346370995,0.3413519501232164,0.3329369128501487,0.08050099000269748
Germany,Female,1,0,0,0,-0.20206011350483422,-0.5646648934149681,-0.35020386455104724,0.7494406021568844,0.2190549831086304
Spain,Female,1,0,1,0,0.6877625976405357,-1.6135543911292867,0.3413519501232164,0.3938559535045762,-0.2676285442641413
France,Male,2,1,0,0,0.3463189991777775,-0.8507256655188732,-1.0417596792253108,-1.2258476714090278,-0.28894293806498306
France,Female,1,0,0,0,1.5465449816529278,0.9609925578058589,0.6871298574603482,0.5051980415132002,-0.9210106841551816
Spain,Female,2,1,1,0,0.7291497004845064,-0.27860412131106305,-1.0417596792253108,-1.2258476714090278,0.11976778819597916
Spain,Male,1,1,0,1,0.33597222346678485,-0.9460792562201749,-1.7333154938995745,0.917023097210928,-0.7739444273935077
Germany,Male,2,1,1,0,0.09799638211395333,-0.7553720748175714,1.378685672134612,0.7805820759647206,0.6918073125164625
Germany,Female,1,1,0,1,0.553254513397631,-1.4228472097266833,0.6871298574603482,0.5857640737952617,1.0853038803358548
Spain,Female,1,1,0,0,-0.367608524880717,0.1981638321954454,1.378685672134612,0.5213192294698087,1.6764686971505505
Spain,Female,2,1,0,1,0.17042381209090204,0.0074566507928420294,-1.0417596792253108,-1.2258476714090278,-1.0323675845006035
Germany,Male,2,0,0,0,0.32562544775579216,-1.4228472097266833,1.378685672134612,-0.29740030216586505,-0.8165168746327044
France,Female,1,1,0,0,-1.7230361430207572,-0.9460792562201749,-0.35020386455104724,0.8595098171824055,1.1116379569882713
Germany,Male,2,1,0,0,-0.23310044063781224,-1.1367864376227783,-0.004425957213915414,0.3099739124060452,0.9721619990616414
Germany,Male,1,1,0,1,-1.764423245864728,0.48422460429935044,1.7244635794717436,0.8514029849951331,-1.645304473616344
France,Male,1,1,0,0,-0.750439226187446,-0.8507256655188732,-0.35020386455104724,1.4901396872056145,0.21035248378449195
France,Male,2,1,1,0,-1.4333264231129623,0.10281024149414371,-0.004425957213915414,-1.2258476714090278,0.8062860601696863
Spain,Female,1,1,1,0,-1.7230361430207572,-0.3739577120123647,0.6871298574603482,0.9196726988423377,-1.265991244273021
France,Female,2,1,1,0,-1.4540199745349478,-0.8507256655188732,-1.7333154938995745,-1.2258476714090278,0.5297251319219686
Germany,Male,2,0,0,0,-0.46072950627965104,-0.27860412131106305,-0.004425957213915414,1.8269876840117074,1.3782808947581977
Spain,Female,1,0,1,0,-0.5538504876785851,0.10281024149414371,1.03290776479748,0.40880716251675603,-0.09244201269120604
Germany,Female,1,1,0,1,1.0705932989472646,1.533114102013669,-0.695981771888179,1.3642743139905127,-1.5999513512644048
Spain,Female,1,1,1,0,2.063883767202561,0.5795781950006521,-1.0417596792253108,0.7344474021195758,-1.4016880506628344
France,Male,2,1,1,0,-1.4540199745349478,2.4866500090266856,-1.0417596792253108,-1.2258476714090278,-0.9045519949286761
Germany,Female,2,1,0,0,1.3189159160110888,0.5795781950006521,-1.3875375865624426,1.3729547564027318,1.2944551298780314
France,Male,2,1,1,0,-0.15032623494987085,0.2935174228967471,-1.0417596792253108,-1.2258476714090278,-0.7758878221192913
France,Female,1,1,1,1,1.5879320844968983,1.0563461485071606,-0.35020386455104724,-1.2258476714090278,-1.5918477291267017
France,Male,2,1,0,0,-1.412632871690977,-0.6600184841162697,1.03290776479748,-1.2258476714090278,-0.07360868151988115
France,Female,1,1,0,0,0.8222706818834405,0.0074566507928420294,-1.3875375865624426,0.36100711179331557,1.649443407717623
Spain,Female,1,0,1,0,-1.2988183388700576,-0.18325053060976135,-1.7333154938995745,-1.2258476714090278,0.5465620319151687
Spain,Male,2,0,1,0,-0.3572617491697243,-0.8507256655188732,-0.004425957213915414,-1.2258476714090278,1.6696617728000853
Germany,Female,2,1,0,0,0.3773593263107555,-0.4693113027136664,0.6871298574603482,0.5593828115803672,0.8429234675569041
France,Female,2,0,0,1,0.6670690462185503,0.1981638321954454,1.03290776479748,-0.3248861527211708,-0.12359458145631622
France,Female,2,1,0,0,-1.4333264231129623,-0.27860412131106305,-0.695981771888179,0.12568267558576662,-1.4331124095099417
France,Male,2,0,0,0,-1.7747700215757207,0.10281024149414371,-1.3875375865624426,-1.2258476714090278,0.25920375142084306
France,Male,1,1,0,0,-0.5124633848346144,-0.6600184841162697,1.03290776479748,0.26488003900817686,-0.22836661499107452
Spain,Male,2,1,0,0,-0.7297456747654606,-0.9460792562201749,1.378685672134612,-0.23680773371825953,0.48667570439171726
France,Male,1,1,1,0,1.6189724116298765,-0.3739577120123647,-0.695981771888179,1.575533084666606,-1.7300295976162083
Spain,Female,2,1,1,0,-0.3572617491697243,-0.6600184841162697,0.3413519501232164,-1.2258476714090278,-0.9927168371703738
Germany,Male,1,1,1,0,0.7291497004845064,-0.18325053060976135,-0.695981771888179,0.5006027488700965,1.0172718492928423
France,Male,2,1,1,0,-1.5471409559338818,1.7238212834162723,1.7244635794717436,-1.2258476714090278,-0.9084544344809342
France,Male,1,1,0,0,-1.3402054417140283,-0.3739577120123647,0.3413519501232164,0.31954770586432507,-1.5580857669064097
Spain,Male,1,1,1,0,2.063883767202561,-0.8507256655188732,-1.0417596792253108,1.0346159179334782,-1.636514333728337
France,Male,1,0,1,0,1.122327177502228,0.2935174228967471,-0.35020386455104724,0.46373302609611994,0.3707129794129889
Spain,Male,1,0,1,1,-1.3919393202689916,1.0563461485071606,-0.004425957213915414,-1.2258476714090278,0.8008624308302812
France,Female,2,1,1,1,0.6256819433745797,-0.08789693990845966,-1.0417596792253108,0.8420029253965462,-1.4905048065433082
Spain,Male,1,1,0,0,-1.4333264231129623,-0.5646648934149681,-0.695981771888179,1.605607473568688,-0.0942391659205343
France,Male,1,1,1,0,-1.040148946095241,-0.18325053060976135,-0.695981771888179,-1.2258476714090278,1.3838179003826072
Spain,Female,1,0,0,1,-0.4400359548576657,0.1981638321954454,-0.695981771888179,0.21280716107124767,1.7252410187234168
France,Male,1,1,1,0,-0.336568197747739,-0.4693113027136664,-0.004425957213915414,0.9370832677041421,0.9018657462286842
France,Male,1,1,0,1,-0.07789880497292212,0.5795781950006521,-0.004425957213915414,-1.2258476714090278,0.7376981027721351
France,Male,1,0,1,0,0.21181091493487275,0.5795781950006521,-1.0417596792253108,0.47906568029840146,1.0115943405422305
Germany,Male,2,1,0,0,0.3980528777327409,-0.5646648934149681,-1.0417596792253108,1.3675731738005368,1.204912730995527
France,Male,2,1,1,0,-0.4917698334126291,-0.7553720748175714,1.03290776479748,-1.2258476714090278,1.214183155084734
France,Female,2,0,0,0,-0.3158746463257536,0.1981638321954454,1.378685672134612,-1.2258476714090278,-0.19541358908648995
France,Female,1,1,1,0,0.2635447934898361,-0.4693113027136664,-1.3875375865624426,-0.21461707964856716,-1.0336792368285013
Germany,Male,2,0,0,0,-0.812519880453402,-1.23214002832408,-0.35020386455104724,0.6699511107747855,-0.6896988920348126
Germany,Male,1,0,1,1,0.18077058780189473,0.7702853764032556,0.6871298574603482,0.486716380968435,1.0062802619076607
France,Male,1,1,0,0,0.4601335319986969,0.6749317857019538,0.6871298574603482,-0.4323046442176636,0.5723954792354867
Spain,Female,2,0,0,0,0.8222706818834405,-0.5646648934149681,1.378685672134612,-1.2258476714090278,1.330021722597982
France,Male,2,1,0,1,1.6189724116298765,0.38887101359804876,-1.3875375865624426,0.46980954413708825,-1.1338011037779958
France,Male,1,1,1,1,-0.6055843662335485,1.4377605113123673,1.03290776479748,-1.2258476714090278,-1.2407491968688078
France,Female,2,1,1,0,0.7808835790394698,-0.7553720748175714,1.378685672134612,0.6128151088880696,-0.03324202902805036
Spain,Male,1,0,1,0,-1.412632871690977,-0.8507256655188732,0.6871298574603482,-1.2258476714090278,0.43333390119714865
France,Male,2,1,1,0,-0.8642537590083653,0.2935174228967471,-1.0417596792253108,-1.2258476714090278,1.1806152541130082
France,Male,1,1,0,1,2.063883767202561,-0.5646648934149681,1.7244635794717436,-1.2258476714090278,-1.655928805305314
Germany,Male,1,1,1,1,0.21181091493487275,0.5795781950006521,0.3413519501232164,0.36987891788493843,0.15271385850025657
France,Male,2,1,0,0,0.20146413922388007,-0.18325053060976135,-0.35020386455104724,1.507702513601283,1.7069502243760404
France,Female,2,1,1,0,0.44978675628770426,-0.8507256655188732,1.378685672134612,-1.2258476714090278,-1.2716564068330878
